timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,Cluster
1.68063E+12,60,HTTP Request 5 Medium,200,OK,Thread Group 1-4,text,true,,921913,126,11,11,http://192.168.56.104/900KB.txt,1,0,0,17
1.68063E+12,239,HTTP Request 6 Large ,200,OK,Thread Group 1-1,text,true,,1638715,127,11,11,http://192.168.56.104/1600KB.txt,2,0,0,17
1.68063E+12,305,HTTP Request 2 Medium,200,OK,Thread Group 1-9,text,true,,768313,126,11,11,http://192.168.56.104/750KB.txt,5,0,0,17
1.68063E+12,332,HTTP Request 6 Large ,200,OK,Thread Group 1-2,text,true,,1638715,127,11,11,http://192.168.56.104/1600KB.txt,8,0,0,17
1.68063E+12,341,HTTP Request 7 Medium,200,OK,Thread Group 1-8,text,true,,1024314,127,11,11,http://192.168.56.104/1000KB.txt,17,0,0,17
1.68063E+12,347,HTTP Request 3 Large ,200,OK,Thread Group 1-6,text,true,,1485115,127,11,11,http://192.168.56.104/1450KB.txt,13,0,0,17
1.68063E+12,352,HTTP Request 11 Large ,200,OK,Thread Group 1-7,text,true,,1894715,127,11,11,http://192.168.56.104/1850KB.txt,23,0,0,17
1.68063E+12,349,HTTP Request 12 Large ,200,OK,Thread Group 1-10,text,true,,1945915,127,11,11,http://192.168.56.104/1900KB.txt,20,0,0,17
1.68063E+12,108,HTTP Request 5 Small,200,OK,Thread Group 1-3,text,true,,256313,126,12,12,http://192.168.56.104/250KB.txt,1,0,0,17
1.68063E+12,119,HTTP Request 2 Medium,200,OK,Thread Group 1-4,text,true,,768313,126,12,12,http://192.168.56.104/750KB.txt,3,0,0,17
1.68063E+12,174,HTTP Request 11 Small,200,OK,Thread Group 1-5,text,true,,563513,126,12,12,http://192.168.56.104/550KB.txt,11,0,0,17
1.68063E+12,90,HTTP Request 3 Medium,200,OK,Thread Group 1-1,text,true,,819513,126,12,12,http://192.168.56.104/800KB.txt,17,0,0,17
1.68063E+12,84,HTTP Request 10 Small,200,OK,Thread Group 1-2,text,true,,512313,126,12,12,http://192.168.56.104/500KB.txt,29,0,0,17
