 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  79480 154792  17276 302212    0    0     0     0  418  238  0 65 35  0  0
 4  0  79480 153928  17284 302212    0    0     0    16  803  262  0 71 29  0  0
 0  0  79480 154792  17284 302216    0    0     0     0  588  281  0 81 19  0  0
 4  0  79480 154344  17284 302216    0    0     0     0  588  204  0 56 44  0  0
 0  0  79480 154792  17284 302220    0    0     0     0  677  290  0 82 18  0  0
 3  0  79480 151656  17284 302220    0    0     0     0  750  213  0 65 35  0  0
 1  0  79480 152168  17292 302220    0    0     0    16  804  323  0 98  2  0  0
 6  0  79480 152040  17292 302224    0    0     0     8  738  216  0 68 32  0  0
 2  0  79480 151976  17292 302224    0    0     0     0  500  247  0 99  1  0  0
 1  0  79480 154792  17292 302228    0    0     0     0  529  185  0 67 33  0  0
 6  0  79480 151464  17292 302228    0    0     0     0  885  270  0 72 28  0  0
 0  0  79480 152712  17300 302228    0    0     0    24  514  270  0 97  3  0  0
 4  0  79480 151528  17300 302232    0    0     0     0  982  208  0 83 17  0  0
 3  0  79480 148344  17300 302232    0    0     0     0  705  270  0 98  2  0  0
 0  0  79480 152744  17300 302236    0    0     0     0  463  212  0 72 28  0  0
 4  0  79480 151080  17300 302236    0    0     0     0  643  247  0 87 13  0  0
 3  0  79480 151176  17308 302236    0    0     0    40  386  180  0 61 38  1  0
11  0  79480 147272  17308 302240    0    0     0     0  614  246  0 84 16  0  0
 0  0  79480 152744  17308 302240    0    0     0     0  341  195  0 87 13  0  0
 1  0  79480 152424  17308 302244    0    0     0     0  754  245  0 81 19  0  0
 2  0  79480 152552  17308 302244    0    0     0     0  647  222  0 72 28  0  0
 2  0  79480 152712  17316 302248    0    0     0    16  461  202  0 57 43  0  0
 0  0  79480 152744  17316 302248    0    0     0    56  445  271  0 65 35  0  0
 2  0  79480 150056  17316 302248    0    0     0     0  428  211  1 67 32  0  0
 2  0  79480 148584  17316 302252    0    0     0     0  390  241  0 100  0  0  0
 1  0  79480 150472  17316 302252    0    0     0     0  440  220  0 64 36  0  0
 9  0  79480 146896  17328 302256    0    0     0    36  644  283  0 87 13  0  0
 0  0  79480 152744  17328 302256    0    0     0     0  294  226  0 63 37  0  0
 3  0  79480 150280  17328 302260    0    0     0     0  660  343  0 87 13  0  0
 0  0  79480 152232  17612 303016  308    0  1252     0  451  954  6 43 48  3  0
 1  0  79480 151728  17620 303228  128    0   228    32  290  155  1  5 94  0  0
 0  0  79480 151728  17620 303244    0    0     0     0  257   54  0  0 100  0  0
 0  0  79480 149428  17620 303244    0    0     0     0  259  121  1  0 99  0  0
 0  0  79480 149428  17620 303244    0    0     0     0  256   52  0  0 100  0  0
 0  0  79480 149428  17620 303244    0    0     0     0  254   48  0  0 100  0  0
 0  0  79480 149428  17628 303240    0    0     0    20  262   60  0  0 99  1  0
 0  0  79480 149428  17628 303244    0    0     0     0  253   40  0  0 100  0  0
 0  0  79480 149428  17628 303244    0    0     0     0  257   48  0  0 100  0  0
