 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  97368 187292  13300 291064    0    0     0     0  553  218  0 65 35  0  0
 1  0  97368 187452  13308 291064    0    0     0    16  553  248  0 89 11  0  0
 1  0  97368 187036  13308 291068    0    0     0     0  623  212  0 72 28  0  0
 0  0  97368 188220  13308 291068    0    0     0     0  721  263  0 88 12  0  0
 1  0  97368 187804  13308 291068    0    0     0     0  465  204  2 72 26  0  0
 2  0  97368 187868  13308 291072    0    0     0     0  628  282  0 79 21  0  0
 4  0  97368 186460  13316 291072    0    0     0    16  550  185  0 49 51  0  0
 4  0  97368 187420  13316 291148    0    0    72     0  678  306  0 82 18  0  0
 0  0  97368 188252  13316 291148    0    0     0     0  358  179  0 64 36  0  0
 2  0  97368 186940  13316 291152    0    0     0     0  570  273  0 84 16  0  0
 4  0  97368 187772  13316 291152    0    0     0     4  484  219  0 84 16  0  0
 2  0  97368 186948  13324 291144    0    0     0    16 1007  269  0 79 21  0  0
 0  0  97368 188252  13324 291156    0    0     0     0  668  252  0 78 22  0  0
 0  0  97368 188252  13324 291164    0    0     0    56  477  208  0 77 23  0  0
 2  0  97368 187292  13324 291168    0    0     0     0  563  284  0 81 19  0  0
 2  0  97368 185788  13324 291168  184    0   184     0  502  215  0 53 46  1  0
 2  0  97368 187836  13336 291156    0    0     0    56  490  247  0 67 31  2  0
 0  0  97368 188252  13336 291172    0    0     0     0  619  193  0 60 40  0  0
 2  0  97368 187772  13336 291172    0    0     0     0  530  288  0 90 10  0  0
 2  0  97368 187996  13336 291176    0    0     0     0  524  233  0 64 36  0  0
 5  0  97368 186812  13336 291176    0    0     0     0  600  198  0 54 46  0  0
 2  0  97368 188252  13344 291172    0    0     0    16  618  307  0 77 23  0  0
 7  0  97368 186252  13344 291180    0    0     0     0 1030  307  0 79 21  0  0
 2  0  97368 187836  13344 291180    0    0     0     0  683  322  0 94  6  0  0
 1  0  97368 185756  13344 291184    0    0     0     0  508  188  0 68 32  0  0
 2  0  97368 183692  13344 291184  648    0   648     0  621  351  0 87 11  2  0
 3  0  97368 186196  13352 291180    0    0     0    16  405  185  0 67 16 16  0
 3  0  97368 185076  13352 291188    0    0     0     0  539  256  0 89 11  0  0
 2  0  97368 186324  13352 291192    0    0     0     0  404  251  0 75 25  0  0
